"number","SUStartTime","age","sex","model","Condition","LR_STE","Asym_STE","SatT_STE","MSE_STE","LR_SPE","Asym_SPE","SatT_SPE","MSE_SPE","LR_RTE","Asym_RTE","SatT_RTE","MSE_RTE","LR_RPE","Asym_RPE","SatT_RPE","MSE_RPE","SatT"
33,30.144,NA,NA,1,"online",0.207386065220755,0.806240093728615,14,0.0380674206668512,1,0.601883130183728,2,0.0266259479511619,0.167781355587386,0.725531368969909,18,0.0295970733591504,0.145975086428533,0.681511725787085,20,0.0259072044974418,16
34,24.118,NA,NA,15,"terminal",0.921611383650259,0.0855715049125614,3,0.0409969153047065,0.928509105556216,0.0680359867339931,3,0.02835447790448,0.885167143540363,0.0919497308148525,3,0.0335568221839023,0.912911124249456,0.0441691150381807,3,0.0109425712829222,3
35,30.469,NA,NA,6,"online",0.249342925247742,0.657942669227908,12,0.0147712155073788,0.24910117668738,0.661910149889036,12,0.0163271099674688,0.239860643419991,0.650298479495105,12,0.0115648700470383,0.226913896946008,0.653674852079448,13,0.0135174041421751,12
36,30.232,NA,NA,16,"terminal",0.0958407560949659,0.619175256844793,31,0.0311756183754737,0.0702004445907001,0.55371324615452,43,0.0200195446395463,0.0962828456391962,0.706493697212192,31,0.0254756701489986,0.082795283915395,0.603541831140172,36,0.0178889805197758,31
37,30.422,NA,NA,5,"online",1,0.549909789684856,2,0.0533627510372773,1,0.327223252937538,2,0.0399421390153858,1,0.459266107736627,2,0.0560718294793035,1,0.286724844413041,2,0.0317121038415632,2
38,24.166,NA,NA,5,"terminal",0.119076482046922,0.846204030257227,25,0.0174021121680395,0.128769864624165,0.579545475510264,23,0.0162647237935827,0.123159802206584,0.830765595514895,24,0.0175554166650895,0.746548815638637,0.582707007792427,4,0.0210824969232788,24
39,48.169,NA,NA,13,"online",1,0.462162782449039,2,0.0569883754986972,0.990290032425537,0.463123157071024,2,0.05771956512175,1,0.316091210138279,2,0.0401056742254775,1,0.387914429028189,2,0.0351566365869016,2
40,18.178,NA,NA,18,"terminal",0.514111607063799,0.630579942683433,6,0.0205100264395073,0.451341317490575,0.514368238879484,6,0.0204407435999784,0.533000872475848,0.610045762698687,5,0.0337379230927501,0.457180618580954,0.470658091414591,6,0.0291778041473571,6
41,24.56,NA,NA,8,"online",0.0282799795041209,0.7185358219849,Inf,0.0577749000457661,0.0299349797171315,0.493262642597936,Inf,0.0290844954509588,0.382479962817704,0.330170114603388,8,0.0626228701338187,0.561518224778414,0.147537185727853,5,0.0185793215146859,Inf
42,42.265,NA,NA,13,"terminal",0.0097808877522501,1.72367312552654,Inf,0.0505562988430018,0.00457199925788909,1.46506024096386,Inf,0.0256358739054355,0.00954912079756118,1.36312070232022,Inf,0.0332374959209681,0.00583936493142365,0.786932688162992,Inf,0.0103840294850943,Inf
43,24.329,NA,NA,7,"online",0.0908616789731669,0.836879410525498,33,0.0196640544300301,0.0806910467055188,0.779745277554056,37,0.0167569188356833,0.0915071253529949,0.808021046874093,33,0.0164029396533972,0.0853325100300092,0.677666815117338,35,0.0183402311112928,33
44,24.231,NA,NA,12,"terminal",0.87747259856727,0.538925262172827,3,0.0445494896483987,0.937875345981032,0.365582181079644,3,0.022628830792074,0.89156550641471,0.154980286272346,3,0.0223367009367144,0.879469053424469,0.0561988500945058,3,0.00552057517024507,3
45,24.145,NA,NA,5,"online",0.00802385138175182,1.20338186942226,Inf,0.0226779686274698,0.00732017524016008,0.888030888030888,Inf,0.014074378319474,0.00734483943266847,1.17927246810938,Inf,0.0186631419482754,1,0.0982316879174267,2,0.0137037175047789,Inf
46,24.166,NA,NA,12,"terminal",0.538390345774284,0.25493632093917,5,0.0668274124903908,0.494253660285332,0.250792568967374,6,0.0488709956546347,0.509203969041694,0.268744920122759,6,0.0465322804239958,0.493457879049321,0.173617056600246,6,0.0340028040559085,6
47,30.351,NA,NA,18,"online",0.0161359780532563,0.537288168936757,Inf,0.0434155943891506,0.016728584222601,0.300896355758653,Inf,0.0187839105239006,0.0200967399074976,0.336385146429493,Inf,0.0274342453194746,0.0152054645997609,0.483246073720634,Inf,0.0274287468168417,Inf
48,24.176,NA,NA,9,"terminal",0.772727272727273,0.212785936244567,4,0.0662553707827755,0.00464454493215005,1.16376306620209,Inf,0.0244829503297252,0.00528936273032656,1.39278280773935,Inf,0.0327048450478106,0.003830585146499,0.920686816208007,Inf,0.0137519197902796,Inf
49,18.107,NA,NA,20,"online",0.233194403653337,0.474266337649965,13,0.0540524897301937,0.350358402618973,0.34770922678413,8,0.0340999044809128,0.230346894513713,0.377997246308905,13,0.0329246653957141,0.338314645670048,0.286288665400653,9,0.0228625366862364,13
50,30.102,NA,NA,18,"terminal",0.486019871637661,0.391858924576999,6,0.0422350410834166,0.50366662910269,0.323608979980235,6,0.0353330922544984,0.569620881317308,0.2652323677733,5,0.0566113824640841,0.562959200189297,0.202985963165212,5,0.0427030513634718,6
51,18.175,NA,NA,7,"online",0.077040859552165,0.823054993422458,39,0.0553801743307764,0.57447536612266,0.371285535374731,5,0.0515452414146433,0.076497435084232,0.74851694834902,39,0.039560410193699,0.0670188313988522,0.591096965601156,45,0.0234950709030432,39
52,24.333,NA,NA,13,"terminal",0.391744714440922,0.373453551456509,8,0.0698010197295554,0.0083535069107701,1.67462640579264,Inf,0.0351361924755339,0.433103653401256,0.400036761128214,7,0.0630951866991834,0.011146885353262,1.51992913728249,Inf,0.033383991035776,8
53,24.206,NA,NA,10,"online",0.00701815595517262,1.6644591611479,Inf,0.0323832756399096,0.00785301933507871,1.25040180006429,Inf,0.0227058985533153,0.0055309331051378,1.50256756549886,Inf,0.0343796942597938,0.00304342697324282,0.370596442274154,Inf,0.0021002487238061,Inf
54,18.225,NA,NA,5,"terminal",0.0913800596624305,0.823537937479545,33,0.0212685257026923,0.0865717960188046,0.758708736229965,35,0.0163428409034615,0.0655296486753396,0.748010564541408,46,0.0145018059011037,0.0549440700273704,0.642161964394624,Inf,0.0114463875349848,40
